epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,221.85,0.90803,0.78432,1.20472,0.84119,0.79361,0.8302,0.55459,1.22798,0.9481,1.34192,0.0009035,0.0009035,0.0009035
44,227.009,0.88774,0.76706,1.21048,0.85487,0.80064,0.84641,0.59505,1.10245,0.82997,1.22238,0.00089525,0.00089525,0.00089525
45,232.128,0.88605,0.77348,1.2086,0.80311,0.79881,0.83623,0.56086,1.19768,0.83492,1.27329,0.000887,0.000887,0.000887
46,237.129,0.87129,0.73857,1.19626,0.81806,0.79823,0.84597,0.58016,1.19209,0.83211,1.29864,0.00087875,0.00087875,0.00087875
47,242.206,0.87469,0.73257,1.19776,0.79846,0.8266,0.84873,0.58427,1.15015,0.80496,1.24063,0.0008705,0.0008705,0.0008705
48,247.34,0.88035,0.74985,1.20062,0.84148,0.83853,0.87263,0.59886,1.12554,0.77141,1.26591,0.00086225,0.00086225,0.00086225
49,252.45,0.88257,0.73669,1.20915,0.82607,0.80728,0.85909,0.56564,1.2009,0.83823,1.30339,0.000854,0.000854,0.000854
50,257.483,0.83313,0.70181,1.18981,0.82575,0.83125,0.86992,0.60886,1.11957,0.78194,1.26765,0.00084575,0.00084575,0.00084575
51,262.58,0.87729,0.73632,1.20129,0.84531,0.79714,0.84942,0.60084,1.08197,0.75905,1.20404,0.0008375,0.0008375,0.0008375
52,267.655,0.87336,0.72019,1.19739,0.84589,0.82309,0.85942,0.59283,1.14128,0.7555,1.29745,0.00082925,0.00082925,0.00082925
53,272.746,0.84521,0.71404,1.1835,0.83112,0.83127,0.86046,0.58927,1.12328,0.77051,1.23908,0.000821,0.000821,0.000821
54,277.776,0.84328,0.69285,1.17001,0.85185,0.8167,0.86146,0.59516,1.11045,0.76423,1.24052,0.00081275,0.00081275,0.00081275
55,282.822,0.84619,0.72131,1.18251,0.82093,0.82794,0.85774,0.58717,1.10078,0.75874,1.2457,0.0008045,0.0008045,0.0008045
56,287.915,0.84806,0.70846,1.18713,0.86979,0.8264,0.86394,0.58588,1.1428,0.78382,1.29047,0.00079625,0.00079625,0.00079625
57,292.988,0.84773,0.71024,1.18382,0.84086,0.81995,0.84953,0.57836,1.17337,0.81391,1.27903,0.000788,0.000788,0.000788
58,298.082,0.84539,0.71253,1.191,0.83623,0.80298,0.8559,0.56518,1.20464,0.80744,1.31168,0.00077975,0.00077975,0.00077975
59,303.21,0.85071,0.69977,1.19192,0.86134,0.81342,0.86747,0.60586,1.09223,0.77326,1.25019,0.0007715,0.0007715,0.0007715
60,308.316,0.83332,0.68812,1.18883,0.8576,0.8466,0.87449,0.62309,1.07775,0.76481,1.22764,0.00076325,0.00076325,0.00076325
61,313.369,0.83568,0.67953,1.17756,0.8757,0.81664,0.87139,0.61145,1.11161,0.7442,1.22865,0.000755,0.000755,0.000755
62,318.459,0.84577,0.67684,1.16506,0.88574,0.81056,0.87518,0.61367,1.11028,0.7316,1.25598,0.00074675,0.00074675,0.00074675
63,323.561,0.82941,0.68077,1.17815,0.85223,0.8442,0.86704,0.6068,1.09095,0.7117,1.25914,0.0007385,0.0007385,0.0007385
64,328.661,0.821,0.67406,1.16634,0.8856,0.83211,0.88414,0.61835,1.0916,0.75514,1.26857,0.00073025,0.00073025,0.00073025
65,333.761,0.82285,0.67886,1.17741,0.85559,0.8632,0.88573,0.61536,1.09896,0.72391,1.26095,0.000722,0.000722,0.000722
66,338.87,0.83589,0.68265,1.17387,0.89267,0.81715,0.88052,0.62674,1.06806,0.72345,1.21331,0.00071375,0.00071375,0.00071375
67,343.971,0.81152,0.65729,1.16152,0.82238,0.81863,0.85572,0.59085,1.1106,0.78406,1.23403,0.0007055,0.0007055,0.0007055
68,349.081,0.80537,0.67502,1.1762,0.86278,0.84999,0.88228,0.61661,1.07896,0.70934,1.25346,0.00069725,0.00069725,0.00069725
69,354.141,0.79492,0.65265,1.17072,0.84075,0.84917,0.86938,0.61187,1.07797,0.71937,1.22282,0.000689,0.000689,0.000689
70,359.252,0.80488,0.64952,1.16221,0.85725,0.83374,0.88108,0.61775,1.07869,0.71496,1.1947,0.00068075,0.00068075,0.00068075
71,364.378,0.79319,0.64638,1.15636,0.85049,0.83723,0.87657,0.61493,1.06517,0.73907,1.2226,0.0006725,0.0006725,0.0006725
72,369.448,0.8103,0.64456,1.16637,0.84913,0.86911,0.88568,0.62026,1.09355,0.73033,1.22246,0.00066425,0.00066425,0.00066425
73,374.584,0.80837,0.64404,1.15003,0.87214,0.83623,0.87787,0.62488,1.06895,0.70185,1.19558,0.000656,0.000656,0.000656
74,379.701,0.7966,0.62367,1.14139,0.89438,0.84264,0.88868,0.63465,1.05253,0.67038,1.20129,0.00064775,0.00064775,0.00064775
75,384.778,0.79836,0.63838,1.15912,0.87766,0.86478,0.894,0.63547,1.06074,0.6698,1.22202,0.0006395,0.0006395,0.0006395
76,389.898,0.79528,0.61812,1.14542,0.86291,0.85127,0.88916,0.63166,1.06794,0.69925,1.21925,0.00063125,0.00063125,0.00063125
77,395.002,0.80705,0.63434,1.15001,0.86852,0.85398,0.89025,0.61982,1.09228,0.70574,1.24617,0.000623,0.000623,0.000623
78,400.063,0.78348,0.61955,1.13227,0.83215,0.86541,0.88871,0.62275,1.06432,0.70254,1.20146,0.00061475,0.00061475,0.00061475
79,405.176,0.79921,0.63762,1.14772,0.86133,0.84627,0.87805,0.62663,1.05058,0.69988,1.22529,0.0006065,0.0006065,0.0006065
80,410.286,0.76533,0.62157,1.14467,0.90262,0.87186,0.90805,0.63688,1.05671,0.67168,1.21577,0.00059825,0.00059825,0.00059825
81,415.419,0.76899,0.60692,1.13754,0.89545,0.86203,0.90461,0.62907,1.06596,0.6683,1.23749,0.00059,0.00059,0.00059
82,420.503,0.76492,0.60649,1.13914,0.90774,0.84204,0.89153,0.6113,1.08364,0.68582,1.2589,0.00058175,0.00058175,0.00058175
83,425.605,0.7718,0.61545,1.14195,0.88944,0.84755,0.89742,0.621,1.07152,0.71189,1.22086,0.0005735,0.0005735,0.0005735
