epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.32847,1.68207,2.71926,1.79482,0.97941,0.17675,0.39589,0.21817,1.76769,2.61443,1.75827,0.000404412,0.000404412,0.000404412
2,15.7838,1.38811,1.75043,1.5322,0.83922,0.35577,0.40996,0.25087,1.7454,2.13986,1.70102,0.000804821,0.000804821,0.000804821
3,22.19,1.33871,1.58651,1.49393,0.59555,0.44501,0.52503,0.2963,1.65599,1.99761,1.71083,0.00118873,0.00118873,0.00118873
4,28.5205,1.2399,1.45738,1.43524,0.82976,0.41191,0.48064,0.24051,1.92498,2.00435,1.9071,0.00117575,0.00117575,0.00117575
5,34.8811,1.21667,1.38283,1.40805,0.48708,0.51563,0.5557,0.32009,1.68283,1.85443,1.62902,0.001151,0.001151,0.001151
6,41.1577,1.1859,1.30669,1.38276,0.64312,0.55683,0.61016,0.35766,1.53793,1.54342,1.61452,0.00112625,0.00112625,0.00112625
7,47.6252,1.14995,1.29423,1.37164,0.52966,0.65437,0.6344,0.39985,1.4367,1.46157,1.52216,0.0011015,0.0011015,0.0011015
8,53.9272,1.12344,1.24187,1.35328,0.55162,0.61721,0.60514,0.33207,1.68217,1.63441,1.68213,0.00107675,0.00107675,0.00107675
9,60.2494,1.10413,1.16495,1.32378,0.89683,0.63828,0.72622,0.5031,1.23964,1.26691,1.31101,0.001052,0.001052,0.001052
10,66.5524,1.08145,1.14085,1.32337,0.71274,0.73071,0.74861,0.50473,1.29208,1.13396,1.38978,0.00102725,0.00102725,0.00102725
11,72.9181,1.0564,1.09533,1.30613,0.8007,0.70654,0.75493,0.50614,1.29744,1.20779,1.38711,0.0010025,0.0010025,0.0010025
12,79.1278,1.03549,1.062,1.30061,0.69369,0.71441,0.73677,0.4866,1.24131,1.15657,1.34981,0.00097775,0.00097775,0.00097775
13,85.4535,1.04021,1.0516,1.29025,0.75545,0.74035,0.77241,0.51315,1.24611,1.04417,1.32208,0.000953,0.000953,0.000953
14,91.68,1.00125,1.01706,1.26774,0.75054,0.77455,0.78855,0.55172,1.14951,0.99396,1.30274,0.00092825,0.00092825,0.00092825
15,98.0654,0.99284,0.97693,1.26713,0.81312,0.74617,0.80258,0.54449,1.17794,0.96563,1.28218,0.0009035,0.0009035,0.0009035
16,104.275,0.97116,0.95058,1.24754,0.80399,0.78259,0.82513,0.56701,1.12839,0.93302,1.25435,0.00087875,0.00087875,0.00087875
17,110.773,0.97396,0.93853,1.25852,0.82132,0.76065,0.81968,0.56756,1.13774,0.91164,1.24854,0.000854,0.000854,0.000854
18,116.987,0.96983,0.92559,1.24053,0.74048,0.78995,0.80178,0.54267,1.16176,0.99459,1.25685,0.00082925,0.00082925,0.00082925
19,123.32,0.9595,0.91433,1.23999,0.79823,0.80019,0.84007,0.57072,1.1086,0.92102,1.21256,0.0008045,0.0008045,0.0008045
20,129.586,0.9358,0.87471,1.21995,0.79984,0.77188,0.81691,0.56706,1.13252,0.96794,1.24251,0.00077975,0.00077975,0.00077975
21,135.836,0.96155,0.89652,1.24509,0.81851,0.81943,0.84955,0.56973,1.16144,0.91089,1.26197,0.000755,0.000755,0.000755
22,142.028,0.92016,0.86441,1.21775,0.82852,0.80696,0.84955,0.60302,1.07883,0.80691,1.20673,0.00073025,0.00073025,0.00073025
23,148.281,0.93197,0.85501,1.2282,0.84823,0.81829,0.85391,0.60174,1.11089,0.84976,1.21574,0.0007055,0.0007055,0.0007055
24,154.53,0.9294,0.8343,1.21125,0.84465,0.79402,0.85024,0.60196,1.07088,0.83369,1.19158,0.00068075,0.00068075,0.00068075
25,160.838,0.90007,0.80894,1.21213,0.81931,0.82612,0.87249,0.61745,1.06092,0.78892,1.19857,0.000656,0.000656,0.000656
26,167.294,0.90008,0.80618,1.19476,0.83865,0.82153,0.8573,0.60422,1.0848,0.79534,1.19704,0.00063125,0.00063125,0.00063125
27,173.84,0.88915,0.80306,1.19888,0.8411,0.833,0.86519,0.59759,1.11099,0.89189,1.25268,0.0006065,0.0006065,0.0006065
28,180.1,0.89994,0.80402,1.20251,0.84252,0.84101,0.87378,0.60082,1.07129,0.80793,1.21082,0.00058175,0.00058175,0.00058175
29,186.425,0.87142,0.77027,1.18762,0.8265,0.83922,0.85679,0.6107,1.02345,0.78737,1.17649,0.000557,0.000557,0.000557
30,192.673,0.87675,0.77203,1.20308,0.85418,0.84958,0.88464,0.63153,1.03807,0.77155,1.18301,0.00053225,0.00053225,0.00053225
31,198.904,0.85777,0.74239,1.1716,0.8677,0.85253,0.89218,0.63456,1.02873,0.73211,1.16998,0.0005075,0.0005075,0.0005075
32,205.174,0.85258,0.72874,1.17742,0.86008,0.85394,0.89362,0.63202,1.01791,0.71403,1.18128,0.00048275,0.00048275,0.00048275
33,211.376,0.83614,0.72797,1.17588,0.8613,0.86701,0.89217,0.63813,1.03815,0.71331,1.1937,0.000458,0.000458,0.000458
34,217.645,0.84417,0.71756,1.16215,0.84766,0.8521,0.88514,0.62174,1.05973,0.72586,1.1992,0.00043325,0.00043325,0.00043325
35,223.779,0.84938,0.73052,1.17022,0.84968,0.85831,0.8957,0.64005,1.01482,0.73534,1.18393,0.0004085,0.0004085,0.0004085
36,230.06,0.83443,0.71453,1.17364,0.87208,0.86418,0.90505,0.64691,1.00904,0.73388,1.16874,0.00038375,0.00038375,0.00038375
37,236.303,0.81345,0.70709,1.16673,0.85881,0.86861,0.90066,0.64753,1.00112,0.68944,1.15901,0.000359,0.000359,0.000359
38,242.571,0.82035,0.68604,1.17459,0.84742,0.87705,0.89961,0.64761,1.00031,0.68503,1.16333,0.00033425,0.00033425,0.00033425
39,248.825,0.82042,0.68449,1.16174,0.89587,0.84616,0.90858,0.66312,0.99361,0.67748,1.15453,0.0003095,0.0003095,0.0003095
40,255.21,0.80883,0.68048,1.15261,0.87846,0.88216,0.91765,0.66497,0.98194,0.66792,1.15334,0.00028475,0.00028475,0.00028475
41,276.329,0.87176,0.74228,1.16248,0.84907,0.85883,0.89521,0.64033,1.01138,0.69309,1.21603,0.00026,0.00026,0.00026
42,282.794,0.83805,0.66369,1.12883,0.87804,0.86212,0.90179,0.65127,0.99779,0.67639,1.17419,0.00023525,0.00023525,0.00023525
43,289.407,0.81694,0.62775,1.11799,0.85212,0.90763,0.91506,0.66724,0.96075,0.63206,1.15398,0.0002105,0.0002105,0.0002105
44,295.728,0.80618,0.62012,1.1104,0.87116,0.91402,0.9253,0.67495,0.95573,0.60179,1.13743,0.00018575,0.00018575,0.00018575
45,302.071,0.80581,0.61048,1.10396,0.88508,0.90743,0.92097,0.66792,0.96694,0.61227,1.1313,0.000161,0.000161,0.000161
46,308.45,0.78784,0.59035,1.10756,0.8813,0.90755,0.92988,0.68372,0.93072,0.58248,1.12523,0.00013625,0.00013625,0.00013625
47,314.766,0.76963,0.57573,1.09794,0.89621,0.89565,0.93221,0.68819,0.93889,0.5828,1.13051,0.0001115,0.0001115,0.0001115
48,321.167,0.77396,0.58193,1.09482,0.89618,0.90104,0.92953,0.68828,0.93234,0.58105,1.12202,8.675e-05,8.675e-05,8.675e-05
49,327.47,0.76359,0.56658,1.0805,0.90287,0.90328,0.93186,0.69045,0.92924,0.57363,1.11557,6.2e-05,6.2e-05,6.2e-05
50,333.589,0.7604,0.56236,1.08114,0.89147,0.9059,0.92884,0.68849,0.9305,0.56802,1.11982,3.725e-05,3.725e-05,3.725e-05
